,출입국,방문객수,연월
0,스위스,762,202001
1,스위스,566,202002
2,스위스,105,202003
3,스위스,33,202004
4,스위스,28,202005
5,스위스,27,202006
6,스위스,41,202007
7,스위스,122,202008
8,스위스,55,202009
9,스위스,46,202010
10,스위스,60,202011
11,스위스,39,202012
12,스위스,53,202101
13,스위스,147,202102
14,스위스,69,202103
15,스위스,70,202104
16,스위스,95,202105
17,스위스,86,202106
18,스위스,143,202107
19,스위스,228,202108
20,스위스,169,202109
21,스위스,184,202110
22,스위스,154,202111
23,스위스,98,202112
24,스위스,92,202201
25,스위스,186,202202
26,스위스,117,202203
27,스위스,472,202204
28,스위스,476,202205
29,스위스,552,202206
30,스위스,990,202207
31,스위스,1002,202208
32,스위스,1170,202209
33,스위스,1458,202210
34,스위스,845,202211
35,스위스,709,202212
36,스위스,544,202301
37,스위스,705,202302
38,스위스,1598,202303
39,스위스,2703,202304
40,스위스,1679,202305
41,스위스,1334,202306
42,스위스,3481,202307
43,스위스,1723,202308
44,스위스,2084,202309
45,스위스,2296,202310
46,스위스,1187,202311
47,스위스,883,202312
